timestamp,phase,gpu,power_w,sm_util_pct,mem_util_pct,mem_used_mib,mem_total_mib,temp_c,pcie_tx_kib,pcie_rx_kib,clock_sm_mhz,clock_mem_mhz
1774914437.258,steady,1,87.5,4,2,16793,81920,32,1100,6100,1155,1593
1774914437.258,steady,2,87.7,5,3,18797,81920,30,1550,6650,1155,1593
1774914437.258,steady,3,86.5,4,2,18797,81920,31,1550,6400,1155,1593
1774914437.258,steady,4,89.3,5,2,16793,81920,36,1300,6700,1155,1593
1774914437.258,steady,5,87.8,4,2,16793,81920,36,1450,6050,1155,1593
1774914437.258,steady,6,90.1,5,3,17661,81920,35,1250,6300,1155,1593
1774914437.258,steady,7,86.3,4,2,17557,81920,36,1350,6250,1155,1593
1774914438.260,steady,0,86.0,4,2,16793,81920,32,1550,6850,1155,1593
1774914438.260,steady,1,87.2,4,2,16793,81920,32,1250,7650,1155,1593
1774914438.260,steady,2,86.8,5,3,18797,81920,31,1450,5650,1155,1593
1774914438.260,steady,3,86.5,5,3,18797,81920,31,1150,6150,1155,1593
1774914438.260,steady,4,87.8,4,2,16793,81920,36,1350,6050,1155,1593
1774914438.260,steady,5,86.9,5,3,16793,81920,36,1500,6250,1155,1593
1774914438.260,steady,6,91.6,4,2,17661,81920,35,1350,6650,1155,1593
1774914438.260,steady,7,85.1,4,2,17557,81920,36,1450,6050,1155,1593
1774914439.260,steady,0,87.3,4,2,16793,81920,32,1600,5050,1155,1593
1774914439.260,steady,1,97.5,5,3,16793,81920,32,1150,6450,1155,1593
1774914439.260,steady,2,87.1,4,2,18797,81920,30,1450,6500,1155,1593
1774914439.260,steady,3,86.5,5,2,18797,81920,31,1450,6450,1155,1593
1774914439.260,steady,4,88.4,5,3,16793,81920,36,1450,6550,1155,1593
1774914439.260,steady,5,85.4,5,3,16793,81920,36,1500,6550,1155,1593
1774914439.260,steady,6,89.5,5,2,17661,81920,35,1350,5450,1155,1593
1774914439.260,steady,7,88.7,4,2,17557,81920,36,1350,6750,1155,1593
1774914440.260,steady,0,85.4,4,2,16793,81920,32,1450,5200,1155,1593
1774914440.260,steady,1,89.3,4,2,16793,81920,32,1300,6750,1155,1593
1774914440.260,steady,2,86.8,5,3,18797,81920,30,1550,6600,1155,1593
1774914440.260,steady,3,87.7,4,2,18797,81920,31,1300,5800,1155,1593
1774914440.260,steady,4,90.5,4,2,16793,81920,36,1450,5500,1155,1593
1774914440.260,steady,5,86.3,4,2,16793,81920,36,1350,7100,1155,1593
1774914440.260,steady,6,89.2,4,2,17661,81920,35,1250,6550,1155,1593
1774914440.260,steady,7,88.7,4,2,17557,81920,36,1200,7000,1155,1593
1774914441.260,steady,0,87.9,4,2,16793,81920,32,1350,6150,1155,1593
1774914441.260,steady,1,88.4,4,2,16793,81920,32,1200,6500,1155,1593
1774914441.260,steady,2,88.3,4,2,18797,81920,30,1500,7150,1155,1593
1774914441.260,steady,3,86.2,5,2,18797,81920,31,1450,6450,1155,1593
1774914441.260,steady,4,89.3,4,2,16793,81920,36,1400,5350,1155,1593
1774914441.260,steady,5,86.6,5,3,16793,81920,36,1450,6000,1155,1593
1774914441.260,steady,6,91.0,4,2,17661,81920,35,1400,5800,1155,1593
1774914441.260,steady,7,85.4,4,2,17557,81920,36,1300,6650,1155,1593
1774914442.261,steady,0,85.4,4,2,16793,81920,32,1550,6650,1155,1593
1774914442.261,steady,1,87.5,5,3,16793,81920,32,1250,6050,1155,1593
1774914442.261,steady,2,88.3,5,2,18797,81920,30,1500,5600,1155,1593
1774914442.261,steady,3,86.5,4,2,18797,81920,31,1650,7300,1155,1593
1774914442.261,steady,4,90.2,5,3,16793,81920,36,1300,6450,1155,1593
1774914442.261,steady,5,89.0,5,3,16793,81920,36,1300,5850,1155,1593
1774914442.261,steady,6,90.7,4,2,17661,81920,35,1450,5700,1155,1593
1774914442.261,steady,7,86.0,4,2,17557,81920,36,1350,6400,1155,1593
1774914443.261,steady,0,85.8,5,2,16793,81920,32,1400,6500,1155,1593
1774914443.261,steady,1,88.4,4,2,16793,81920,32,1200,7150,1155,1593
1774914443.261,steady,2,87.1,5,3,18797,81920,30,1350,6550,1155,1593
1774914443.261,steady,3,87.1,5,3,18797,81920,31,1550,6100,1155,1593
1774914443.261,steady,4,89.0,4,2,16793,81920,36,1400,6700,1155,1593
1774914443.261,steady,5,87.8,5,2,16793,81920,36,1600,6800,1155,1593
1774914443.261,steady,6,89.8,4,2,17661,81920,35,1550,6550,1155,1593
1774914443.261,steady,7,87.2,4,2,17557,81920,36,1450,6900,1155,1593
1774914444.261,steady,0,85.4,4,2,16793,81920,32,1400,6650,1155,1593
1774914444.261,steady,1,89.3,4,2,16793,81920,32,1250,6200,1155,1593
1774914444.261,steady,2,88.3,5,3,18797,81920,30,1550,6150,1155,1593
1774914444.261,steady,3,86.2,4,2,18797,81920,31,1400,6600,1155,1593
1774914444.261,steady,4,86.9,5,3,16793,81920,36,1800,6700,1155,1593
1774914444.261,steady,5,86.3,5,2,16793,81920,36,1300,5600,1155,1593
1774914444.261,steady,6,100.5,4,2,17661,81920,35,1450,6050,1155,1593
1774914444.261,steady,7,87.2,4,2,17557,81920,36,1350,6500,1155,1593
1774914445.261,steady,0,86.4,4,2,16793,81920,32,1400,6600,1155,1593
1774914445.261,steady,1,88.1,5,3,16793,81920,32,1200,6600,1155,1593
1774914445.261,steady,2,88.0,5,2,18797,81920,30,1350,5650,1155,1593
1774914445.261,steady,3,87.1,5,3,18797,81920,31,1500,6400,1155,1593
1774914445.261,steady,4,92.1,5,2,16793,81920,36,1350,7050,1155,1593
1774914445.261,steady,5,84.8,5,2,16793,81920,36,1400,6100,1155,1593
1774914445.261,steady,6,90.4,4,2,17661,81920,35,1450,5900,1155,1593
1774914445.261,steady,7,86.3,4,2,17557,81920,36,1300,6700,1155,1593
1774914446.262,steady,0,86.0,4,2,16793,81920,32,1350,7100,1155,1593
1774914446.262,steady,1,87.5,4,2,16793,81920,32,1150,6300,1155,1593
1774914446.262,steady,2,88.6,5,3,18797,81920,30,1400,6300,1155,1593
1774914446.262,steady,3,86.8,5,2,18797,81920,31,1400,7200,1155,1593
1774914446.262,steady,4,89.6,5,2,16793,81920,36,1250,6000,1155,1593
1774914446.262,steady,5,91.5,4,2,16793,81920,36,1450,6550,1155,1593
1774914446.262,steady,6,90.4,5,3,17661,81920,35,1350,6850,1155,1593
1774914446.262,steady,7,84.8,4,2,17557,81920,36,1400,5650,1155,1593
1774914447.262,steady,0,85.2,4,2,16793,81920,32,1450,6150,1155,1593
1774914447.262,steady,1,87.5,5,3,16793,81920,32,1150,6550,1155,1593
1774914447.262,steady,2,87.7,5,3,18797,81920,30,1550,6700,1155,1593
1774914447.262,steady,3,88.0,4,2,18797,81920,31,1350,6000,1155,1593
1774914447.262,steady,4,89.9,4,2,16793,81920,36,1250,5650,1155,1593
1774914447.262,steady,5,86.9,5,3,16793,81920,36,1250,6500,1155,1593
1774914447.262,steady,6,91.4,5,3,17661,81920,35,1450,6250,1155,1593
1774914447.262,steady,7,85.1,5,2,17557,81920,36,1250,5800,1155,1593
1774914448.262,steady,0,86.0,4,2,16793,81920,32,1250,6150,1155,1593
1774914448.262,steady,1,89.3,5,3,16793,81920,32,1150,6250,1155,1593
1774914448.262,steady,2,89.5,4,2,18797,81920,30,1450,6950,1155,1593
1774914448.262,steady,3,86.8,5,3,18797,81920,31,1400,6100,1155,1593
1774914448.262,steady,4,88.1,4,2,16793,81920,36,1250,6200,1155,1593
1774914448.262,steady,5,85.4,4,2,16793,81920,36,1500,6950,1155,1593
1774914448.262,steady,6,92.0,4,2,17661,81920,35,1400,6800,1155,1593
1774914448.262,steady,7,85.1,5,2,17557,81920,36,1350,6500,1155,1593
1774914449.262,steady,0,86.0,5,3,16793,81920,32,1400,6900,1155,1593
1774914449.262,steady,1,89.3,5,2,16793,81920,32,1300,6100,1155,1593
1774914449.262,steady,2,88.3,5,2,18797,81920,31,1400,6150,1155,1593
1774914449.262,steady,3,85.6,5,2,18797,81920,31,1350,6750,1155,1593
1774914449.262,steady,4,90.2,5,3,16793,81920,36,1550,6650,1155,1593
1774914449.262,steady,5,85.7,4,2,16793,81920,36,1400,6550,1155,1593
1774914449.262,steady,6,89.8,5,2,17661,81920,35,1500,6950,1155,1593
1774914449.262,steady,7,86.3,5,2,17557,81920,36,1300,7100,1155,1593
1774914450.262,steady,0,87.6,4,2,16793,81920,32,1450,6750,1155,1593
1774914450.262,steady,1,87.5,5,3,16793,81920,32,1150,6850,1155,1593
1774914450.262,steady,2,87.7,5,3,18797,81920,31,1550,7050,1155,1593
1774914450.262,steady,3,87.4,4,2,18797,81920,31,1450,6100,1155,1593
1774914450.262,steady,4,88.4,5,3,16793,81920,36,1350,6350,1155,1593
1774914450.262,steady,5,86.9,5,3,16793,81920,36,1600,6500,1155,1593
1774914450.262,steady,6,89.5,4,2,17661,81920,35,1350,6000,1155,1593
